CaseNo,Crime Type,Crime Category,Occurred On,Occurred Between,Block Address,Disposition,x,y
PD250034029,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Property,9/19/2025 5:00 上午,,12000 OAKWOOD DR,Exception,11827222.78,6937689.018
PD250033957,DRUG/NARCOTIC VIOLATION,Quality of Life,9/19/2025 2:41 上午,,17000 DUMFRIES RD,Arrest,11817123.08,6897750.478
PD250033955,SHOPLIFTING,Property,9/19/2025 1:46 上午,,10000 DAVIDSON PL,Arrest,11763853.19,6973536.821
PD250033954,DRUG/NARCOTIC VIOLATION,Quality of Life,9/19/2025 12:10 上午,,14000 RIVER WALK WAY,Arrest,11828769.59,6915728.54
PD250033952,DRUG/NARCOTIC VIOLATION,Quality of Life,9/19/2025 12:00 上午,,14000 RIVER WALK WAY,Arrest,11828769.59,6915728.54
PD250033956,DISORDERLY CONDUCT,Quality of Life,9/19/2025 12:00 上午,,15000 RICHMOND HWY,Arrest,11832223.33,6913674.3
PD250033959,DRIVING UNDER THE INFLUENCE,Quality of Life,9/19/2025 12:00 上午,,10000 DUMFRIES RD,Arrest,11776305.59,6954465.937
PD250034044,DISORDERLY CONDUCT,Quality of Life,9/19/2025 12:00 上午,,7800 CELLAR DOOR DR,Arrest,11743543.38,6971417.595
PD250034063,DISORDERLY CONDUCT,Quality of Life,9/19/2025 12:00 上午,,13000 OCCOQUAN RD,Arrest,11837088.37,6929628.465
PD250034066,DISORDERLY CONDUCT,Quality of Life,9/19/2025 12:00 上午,,13000 RICHMOND HWY,Arrest,11808907.66,6874800.458
PD250034205,FALSE PRETENSES/SWINDLE/CONFIDENCE GAME,Property,9/19/2025 12:00 上午,,3000 CAMPTOWN CT,Inactive,11735741.75,7009553.931
PD250034342,"FAMILY OFFENSES, NONVIOLENT",Quality of Life,9/19/2025 12:00 上午,9/19/2025 11:59 下午,8000 ASHLAND AVE,Inactive,11766775.83,6969936.435
PD250034381,IDENTITY THEFT,Property,9/19/2025 12:00 上午,,8600 BELGROVE GARDENS LN,Inactive,11738902.73,6964242.27
PD250035142,WIRE FRAUD,Property,9/19/2025 12:00 上午,,2300 OPITZ BLVD,Inactive,11830080.57,6916574.574
PD250035719,WIRE FRAUD,Property,9/19/2025 12:00 上午,9/29/2025 12:00 上午,8000 LANTERN CT,Inactive,11759900.03,6969872.149
PD250034081,ALL OTHER LARCENY,Property,9/18/2025 11:30 下午,,15000 CARTERSVILLE CT,Inactive,11726773.12,6984621.42
PD250034726,THEFT OF MOTOR VEHICLE PARTS OR ACCESSORIES,Property,9/18/2025 11:23 下午,,5300 WELLINGTON BRANCH DR,Inactive,11739225.1,6974222.147
PD250034075,SIMPLE ASSAULT,Violent,9/18/2025 11:17 下午,,15000 CARTERSVILLE CT,Arrest,11726773.12,6984621.42
PD250033976,THEFT FROM MOTOR VEHICLE,Property,9/18/2025 11:00 下午,9/19/2025 5:00 上午,4200 HOFFMAN DR,Inactive,11816235.94,6926208.768
PD250033944,SIMPLE ASSAULT,Violent,9/18/2025 10:40 下午,,16000 KRAMER ESTATE DR,Inactive,11824471.34,6903092.036
PD250900350,THEFT FROM MOTOR VEHICLE,Property,9/18/2025 9:00 下午,9/19/2025 11:00 上午,13000 NICKLESON DR,Inactive,11802879.61,6927788.042
PD250033936,DRUG/NARCOTIC VIOLATION,Quality of Life,9/18/2025 8:57 下午,,14000 SHOPPERS BEST WAY,Arrest,11825960.79,6922040.042
PD250033935,SIMPLE ASSAULT,Violent,9/18/2025 8:45 下午,,16000 ROYAL CT,Inactive,11825632.46,6901131.917
PD250033938,SIMPLE ASSAULT,Violent,9/18/2025 8:30 下午,,1700 SHADY RIVER CT,Exception,11835225.85,6930791.928
PD250033934,DRUG/NARCOTIC VIOLATION,Quality of Life,9/18/2025 8:00 下午,,15000 DONALD CURTIS DR,Inactive,11825123.37,6907409.815
PD250034000,THEFT FROM MOTOR VEHICLE,Property,9/18/2025 7:30 下午,9/19/2025 11:30 上午,12000 CREEKVIEW CIR,Inactive,11819511.04,6935759.216
PD250033933,SIMPLE ASSAULT,Violent,9/18/2025 7:02 下午,,3100 RIVER HERITAGE BLVD,Unfounded,11824550.46,6897169.92
PD250033872,TRESPASS OF REAL PROPERTY,Quality of Life,9/18/2025 6:44 下午,,1000 EXPRESS DR,Arrest,11840982.05,6926364.816
PD250033929,IDENTITY THEFT,Property,9/18/2025 4:30 下午,,14000 GLENKIRK RD,Inactive,11736738.44,6967334.618
PD250034178,TRESPASS OF REAL PROPERTY,Quality of Life,9/18/2025 4:10 下午,,11000 WHEELER RIDGE DR,Inactive,11758592.98,6974002.26
PD250033932,SIMPLE ASSAULT,Violent,9/18/2025 4:00 下午,,6600 DUVON PL,Arrest,11796129.6,6952616.974
PD250034002,THEFT FROM BUILDING,Property,9/18/2025 4:00 下午,9/18/2025 4:30 下午,18000 FULLER HEIGHTS RD,Inactive,11815984.49,6883903.107
PD250033850,DRUG/NARCOTIC VIOLATION,Quality of Life,9/18/2025 3:35 下午,,Branchview Ln / Carmel Way,Arrest,11770629.96,6953086.094
PD250033844,TRESPASS OF REAL PROPERTY,Quality of Life,9/18/2025 3:15 下午,,13000 WORTH AVE,Arrest,11827073.86,6922398.802
PD250033847,SIMPLE ASSAULT,Violent,9/18/2025 3:00 下午,,Montega Dr / Odion Ln,Arrest,11811406.85,6929980.406
PD250034053,SIMPLE ASSAULT,Violent,9/18/2025 3:00 下午,,17000 WEXFORD LOOP,Inactive,11824297.98,6895048.396
PD250033861,INTIMIDATION,Violent,9/18/2025 2:40 下午,,3800 MARQUIS PL,Unfounded,11818130.88,6935246.104
PD250033977,DRUG/NARCOTIC VIOLATION,Quality of Life,9/18/2025 12:07 下午,9/18/2025 12:10 下午,3000 OLD BRIDGE RD,Inactive,11824994.02,6934194.426
PD250033824,INTIMIDATION,Violent,9/18/2025 10:40 上午,,9300 LEE AVE,Inactive,11774274.01,6958467.993
PD250033829,SIMPLE ASSAULT,Violent,9/18/2025 10:00 上午,9/18/2025 11:30 上午,4700 HICKORY NUT PL,Inactive,11811617.95,6912899.655
PD250042784,WIRE FRAUD,Property,9/18/2025 9:00 上午,,7100 SANTA CRUZ PL,Active,11735970.26,6977924.662
PD250033795,GAMBLING EQUIPMENT VIOLATION,Quality of Life,9/18/2025 8:24 上午,,7200 CENTREVILLE RD,Unfounded,11782387.78,6977211.775
PD250033815,AGGRAVATED ASSAULT,Violent,9/18/2025 7:34 上午,,1700 ROCHELLE CT,Arrest,11834733.8,6929128.607
PD250033931,SIMPLE ASSAULT,Violent,9/18/2025 7:30 上午,,6600 DUVON PL,Arrest,11796129.6,6952616.974
PD250033788,THEFT FROM MOTOR VEHICLE,Property,9/18/2025 6:45 上午,,2900 POTOMAC MILLS CIR,Arrest,11828499.25,6919863.177
PD250033827,SHOPLIFTING,Property,9/18/2025 6:00 上午,9/18/2025 6:13 上午,14000 WORTH AVE,Arrest,11827066.63,6921188.149
PD250033785,SIMPLE ASSAULT,Violent,9/18/2025 4:10 上午,,10000 BUTTERFIELD ST,Inactive,11764715.56,6975313.455
PD250033784,SIMPLE ASSAULT,Violent,9/18/2025 3:30 上午,,3200 WYNDALE CT,Arrest,11822206.7,6925808.929
PD250033860,THEFT FROM MOTOR VEHICLE,Property,9/18/2025 2:00 上午,,4000 FORGE DR,Inactive,11816740.98,6919737.02
PD250033779,DRIVING UNDER THE INFLUENCE,Quality of Life,9/18/2025 1:00 上午,,Tygart Lake Dr / Sudley Manor Dr,Arrest,11752446.38,6960425.333
PD250033782,DISORDERLY CONDUCT,Quality of Life,9/18/2025 12:00 上午,,Mount Pleasant Dr / Marys Way,Arrest,11838062.96,6922975.55
PD250033822,TRESPASS OF REAL PROPERTY,Quality of Life,9/18/2025 12:00 上午,,12000 HEDGES RUN DR,Arrest,11821912.62,6937795.536
PD250033871,TRESPASS OF REAL PROPERTY,Quality of Life,9/18/2025 12:00 上午,,1900 DANIEL STUART SQ,Arrest,11833124.73,6915128.753
PD250033937,DISORDERLY CONDUCT,Quality of Life,9/18/2025 12:00 上午,,14000 SHOPPERS BEST WAY,Arrest,11825960.79,6922040.042
PD250033941,SIMPLE ASSAULT,Violent,9/18/2025 12:00 上午,9/18/2025 2:00 上午,16000 ALEXANDER PL,Exception,11814722.53,6904913.584
PD250033942,DISORDERLY CONDUCT,Quality of Life,9/18/2025 12:00 上午,,550 RAILROAD AVE,Arrest,11828294.44,6875431.537
PD250033943,DISORDERLY CONDUCT,Quality of Life,9/18/2025 12:00 上午,,3100 RIVER HERITAGE BLVD,Arrest,11824550.46,6897169.92
PD250034479,CREDIT CARD/ATM FRAUD,Property,9/18/2025 12:00 上午,,14000 WORTH AVE,Inactive,11827066.63,6921188.149
PD250035283,THEFT FROM MOTOR VEHICLE,Property,9/18/2025 12:00 上午,9/29/2025 4:54 下午,8800 VICKSBURG CT,Inactive,11768181.04,6963461.307
PD250036868,WIRE FRAUD,Property,9/18/2025 12:00 上午,,16000 STORMY DR,Active,11711794.13,6995802.73
PD250039597,CREDIT CARD/ATM FRAUD,Property,9/18/2025 12:00 上午,10/27/2025 12:00 上午,4100 CHURCHMAN WAY,Active,11817062.06,6932903.218
PD250033775,SHOPLIFTING,Property,9/17/2025 11:50 下午,,10000 LOMOND DR,Inactive,11768949.22,6970348.358
PD250035526,AGGRAVATED ASSAULT,Violent,9/17/2025 11:30 下午,,2600 PHEASANT HUNT RD,Inactive,11824431.19,6925507.881
PD250036746,THEFT FROM MOTOR VEHICLE,Property,9/17/2025 10:30 下午,9/19/2025 10:00 上午,11000 STAGESTONE WAY,Inactive,11759999.75,6971711.964
PD250033767,DRIVING UNDER THE INFLUENCE,Quality of Life,9/17/2025 10:00 下午,,9200 CASCADE FALLS DR,Arrest,11752020.16,6961132.484
PD250033762,SHOPLIFTING,Property,9/17/2025 8:45 下午,,4000 PRINCE WILLIAM PKWY,Inactive,11816751.64,6927624.098
PD250033760,SIMPLE ASSAULT,Violent,9/17/2025 8:34 下午,,7600 BURNT TREE DR,Inactive,11786894.85,6945088.729
PD250033759,DRUG/NARCOTIC VIOLATION,Quality of Life,9/17/2025 7:55 下午,,10000 BALLS FORD RD,Arrest,11768633.21,6978470.228
PD250033768,AGGRAVATED ASSAULT,Violent,9/17/2025 7:52 下午,,3900 TRIAD CT,Inactive,11817886.06,6938781.949
PD250033799,THEFT FROM MOTOR VEHICLE,Property,9/17/2025 7:00 下午,9/18/2025 7:00 上午,12000 KEMPSTON LN,Inactive,11816431.83,6933804.38
PD250034016,SIMPLE ASSAULT,Violent,9/17/2025 6:52 下午,,3100 PANTHER PRIDE DR,Exception,11824665.83,6900139.002
PD250033747,DRUG/NARCOTIC VIOLATION,Quality of Life,9/17/2025 6:30 下午,,3900 TOWNSQUARE CT,Arrest,11817388.53,6888211.686
PD250033755,THEFT FROM BUILDING,Property,9/17/2025 6:15 下午,,14000 LANDON LN,Inactive,11808810.09,6920432.449
PD250034309,THEFT FROM MOTOR VEHICLE,Property,9/17/2025 6:00 下午,9/18/2025 6:00 上午,1300 EISENHOWER CIR,Inactive,11837186.09,6923935.748
PD250033750,PORNOGRAPHY/OBSCENE MATERIAL,Quality of Life,9/17/2025 5:44 下午,,4000 PRINCE WILLIAM PKWY,Active,11816751.64,6927624.098
PD250033746,SIMPLE ASSAULT,Violent,9/17/2025 5:41 下午,,Delaware Dr / Blackburn Rd,Inactive,11834906.58,6912822.175
PD250033744,SHOPLIFTING,Property,9/17/2025 5:40 下午,,13000 SHOPPERS BEST WAY,Inactive,11825855.42,6922562.249
PD250033740,DRUG/NARCOTIC VIOLATION,Quality of Life,9/17/2025 5:34 下午,,9400 BATTLE ST,Inactive,11775887.74,6958446.594
PD250033748,SHOPLIFTING,Property,9/17/2025 5:12 下午,,14000 WORTH AVE,Inactive,11827066.63,6921188.149
PD250033743,SIMPLE ASSAULT,Violent,9/17/2025 5:00 下午,,2100 SENTRY FALLS WAY,Arrest,11831740.89,6911861.502
PD250034034,SIMPLE ASSAULT,Violent,9/17/2025 4:40 下午,,8600 WELLINGTON RD,Active,11762542.9,6962944.671
PD250900306,ALL OTHER LARCENY,Property,9/17/2025 4:40 下午,9/17/2025 4:58 下午,13000 GATEWAY CENTER DR,Inactive,11738631.13,6973200.128
PD250034027,AGGRAVATED ASSAULT,Violent,9/17/2025 4:30 下午,,13000 MARUMSCO DR,Arrest,11838306.1,6926386.806
PD250033725,DRUG/NARCOTIC VIOLATION,Quality of Life,9/17/2025 4:00 下午,,13000 TELEGRAPH RD,Arrest,11830150.78,6929815.22
PD250033735,SIMPLE ASSAULT,Violent,9/17/2025 3:30 下午,,Oakwood Dr / Cantania Pl,Arrest,11827194.09,6932661.322
PD250033972,WIRE FRAUD,Property,9/17/2025 2:30 下午,,11000 LAURESTINE WAY,Inactive,11754584.15,6965051.811
PD250033826,DRUG/NARCOTIC VIOLATION,Quality of Life,9/17/2025 2:27 下午,,3400 PANTHER PRIDE DR,Arrest,11823419.45,6901678.029
PD250033776,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Property,9/17/2025 2:00 下午,9/17/2025 10:30 下午,16000 ISLIP LOOP,Inactive,11821971.44,6897497.719
PD250034195,FALSE PRETENSES/SWINDLE/CONFIDENCE GAME,Property,9/17/2025 1:42 下午,,1900 DANIEL STUART SQ,Active,11833124.73,6915128.753
PD250034375,SIMPLE ASSAULT,Violent,9/17/2025 1:17 下午,,7400 HOADLY RD,Exception,11789232.28,6925130.333
PD250033808,THEFT FROM BUILDING,Property,9/17/2025 1:15 下午,,14000 RICHMOND HWY,Inactive,11836714.04,6921921.867
PD250033704,GAMBLING EQUIPMENT VIOLATION,Quality of Life,9/17/2025 1:07 下午,,7400 SUDLEY RD,Inactive,11763065.58,6973906.529
PD250034382,PORNOGRAPHY/OBSCENE MATERIAL,Quality of Life,9/17/2025 1:01 下午,,14000 LINKS POND CIR,Arrest,11730709.36,6975206.282
PD250033695,SHOPLIFTING,Property,9/17/2025 11:00 上午,,13000 WORTH AVE,Arrest,11827073.86,6922398.802
PD250040176,IDENTITY THEFT,Property,9/17/2025 10:59 上午,,Prince William Pkwy / Crooked Knoll Way,Arrest,11791749.2,6946653.902
PD250900307,WIRE FRAUD,Property,9/17/2025 9:20 上午,9/17/2025 4:20 下午,13000 CYNTHIA CT,Inactive,11782837.34,6923861.545
PD250033679,SIMPLE ASSAULT,Violent,9/17/2025 9:07 上午,,7500 DUNEIDEN LN,Arrest,11764535.93,6973175.795
PD250033716,SIMPLE ASSAULT,Violent,9/17/2025 9:00 上午,,13000 GREENBRIAR DR,Unfounded,11815329.22,6924206.157
PD250033687,SIMPLE ASSAULT,Violent,9/17/2025 8:40 上午,,16000 MCGUFFEYS TRL,Exception,11827101.04,6898818.993
PD250900398,ALL OTHER LARCENY,Property,9/17/2025 7:30 上午,9/17/2025 3:30 下午,1400 CALIFORNIA ST,Inactive,11837847.16,6915234.645
PD250033758,CREDIT CARD/ATM FRAUD,Property,9/17/2025 7:16 上午,,13000 MINNIEVILLE RD,Inactive,11829300.28,6929007.321
PD250033660,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Property,9/17/2025 2:00 上午,,13000 CRIDERCREST PL,Inactive,11833834.16,6924355.134
PD250033661,AGGRAVATED ASSAULT,Violent,9/17/2025 1:15 上午,,13000 BREEZY RIDGE WAY,Arrest,11833853.79,6923053.629
PD250035219,CREDIT CARD/ATM FRAUD,Property,9/17/2025 12:01 上午,9/27/2025 12:01 上午,13000 KERR CT,Inactive,11807789.1,6926576.106
PD250033764,TRESPASS OF REAL PROPERTY,Quality of Life,9/17/2025 12:00 上午,,14000 RICHMOND HWY,Arrest,11836714.04,6921921.867
PD250033765,SIMPLE ASSAULT,Violent,9/17/2025 12:00 上午,,4300 MERCHANT PLZ,Inactive,11815289.46,6930824.956
PD250033771,TRESPASS OF REAL PROPERTY,Quality of Life,9/17/2025 12:00 上午,,14000 RICHMOND HWY,Arrest,11836714.04,6921921.867
PD250033886,SIMPLE ASSAULT,Violent,9/17/2025 12:00 上午,,3 County Complex Ct,Arrest,11810862.17,6932671.319
PD250035039,THEFT FROM MOTOR VEHICLE,Property,9/17/2025 12:00 上午,9/18/2025 7:00 上午,2000 MAYFLOWER DR,Inactive,11833436.18,6933924.471
PD250038233,ALL OTHER LARCENY,Property,9/17/2025 12:00 上午,10/20/2025 8:00 上午,14000 ADEN RD,Inactive,11761487.4,6920126.585
PD250033654,"FAMILY OFFENSES, NONVIOLENT",Quality of Life,9/16/2025 11:45 下午,,13000 RAYWOOD CT,Unfounded,11803510.56,6923747.427
PD250033653,DRUG/NARCOTIC VIOLATION,Quality of Life,9/16/2025 11:00 下午,,Cardinal Dr / Tassia Ln,Arrest,11827304.22,6907366.244
PD250033649,THEFT FROM MOTOR VEHICLE,Property,9/16/2025 10:02 下午,,9500 SALEM ST,Arrest,11773156.36,6969906.615
PD250033727,DRUG/NARCOTIC VIOLATION,Quality of Life,9/16/2025 10:02 下午,,9500 SALEM ST,Arrest,11773156.36,6969906.615
PD250033650,SIMPLE ASSAULT,Violent,9/16/2025 10:00 下午,,14000 POTOMAC HEIGHTS PL,Arrest,11832706.23,6913967.772
PD250033641,SHOPLIFTING,Property,9/16/2025 9:44 下午,,9900 SOWDER VILLAGE SQ,Arrest,11758601.1,6953667.565
PD250033638,SHOPLIFTING,Property,9/16/2025 7:45 下午,,15000 RICHMOND HWY,Inactive,11832223.33,6913674.3
PD250033870,SIMPLE ASSAULT,Violent,9/16/2025 7:30 下午,,10000 GENERAL KIRKLAND DR,Unfounded,11754058.05,6946123.866
PD250033807,SHOPLIFTING,Property,9/16/2025 7:05 下午,,13000 SMOKETOWN RD,Active,11821708.79,6929517.134
PD250033634,SHOPLIFTING,Property,9/16/2025 7:01 下午,,14000 WORTH AVE,Inactive,11827066.63,6921188.149
PD250033644,DRUG/NARCOTIC VIOLATION,Quality of Life,9/16/2025 7:00 下午,,9100 ANDREW DR,Inactive,11786213.73,6961308.988
PD250033996,THEFT FROM MOTOR VEHICLE,Property,9/16/2025 6:00 下午,9/17/2025 5:20 上午,3500 CALOOSA WAY,Inactive,11820938.35,6920768.974
PD250033625,SHOPLIFTING,Property,9/16/2025 5:20 下午,,9900 SOWDER VILLAGE SQ,Exception,11758601.1,6953667.565
PD250033731,SIMPLE ASSAULT,Violent,9/16/2025 5:00 下午,,9500 LOMOND DR,Arrest,11772883.23,6970110.63
PD250033618,THEFT FROM MOTOR VEHICLE,Property,9/16/2025 4:35 下午,,7500 SOMERSET CROSSING DR,Active,11730572.94,6973082.628
PD250033646,SHOPLIFTING,Property,9/16/2025 3:36 下午,,9900 SOWDER VILLAGE SQ,Arrest,11758601.1,6953667.565
PD250034049,BURGLARY,Property,9/16/2025 3:30 下午,9/19/2025 6:00 下午,2000 TACKETTS VILLAGE SQ,Inactive,11832116.12,6930850.775
PD250033601,SHOPLIFTING,Property,9/16/2025 2:30 下午,,2700 POTOMAC MILLS CIR,Arrest,11826041.73,6918486.143
PD250034957,SIMPLE ASSAULT,Violent,9/16/2025 2:10 下午,,15000 FOREST PARK DR,Unfounded,11805618.43,6908775.834
PD250034513,AGGRAVATED ASSAULT,Violent,9/16/2025 1:00 下午,9/16/2025 3:00 下午,10000 SUDLEY MANOR DR,Inactive,11769205.66,6972433.753
PD250033592,SHOPLIFTING,Property,9/16/2025 12:46 下午,9/16/2025 12:51 下午,2400 PRINCE WILLIAM PKWY,Inactive,11829403.63,6923662.961
PD250033588,SIMPLE ASSAULT,Violent,9/16/2025 12:39 下午,,4100 TALON DR,Arrest,11816421.27,6898986.388
PD250033686,DISORDERLY CONDUCT,Quality of Life,9/16/2025 12:30 下午,,3100 PANTHER PRIDE DR,Exception,11824665.83,6900139.002
PD250033581,SHOPLIFTING,Property,9/16/2025 12:04 下午,,12000 GALVESTON CT,Inactive,11806608.18,6932780.032
PD250033582,TRESPASS OF REAL PROPERTY,Quality of Life,9/16/2025 12:00 下午,,7800 MCLEAN ST,Inactive,11780207.7,6971420.822
PD250033572,SHOPLIFTING,Property,9/16/2025 11:20 上午,,14000 WORTH AVE,Arrest,11827066.63,6921188.149
PD250035551,FALSE PRETENSES/SWINDLE/CONFIDENCE GAME,Property,9/16/2025 11:07 上午,,13000 CENTERPOINTE WAY,Arrest,11815645,6928187.99
PD250033678,SIMPLE ASSAULT,Violent,9/16/2025 11:05 上午,,10000 LOMOND DR,Exception,11768949.22,6970348.358
PD250033580,SHOPLIFTING,Property,9/16/2025 11:02 上午,,15000 POTOMAC TOWN PL,Arrest,11829103.28,6914598.003
PD250034202,SHOPLIFTING,Property,9/16/2025 10:21 上午,,13000 SMOKETOWN RD,Arrest,11821708.79,6929517.134
PD250033551,SHOPLIFTING,Property,9/16/2025 10:01 上午,,15000 RICHMOND HWY,Inactive,11832223.33,6913674.3
PD250033569,SHOPLIFTING,Property,9/16/2025 10:00 上午,,14000 CLOVERDALE RD,Arrest,11818933.9,6914769.915
PD250035759,IDENTITY THEFT,Property,9/16/2025 10:00 上午,,5000 DAVIS FORD RD,Active,11808396.56,6933130.549
PD250900368,FALSE PRETENSES/SWINDLE/CONFIDENCE GAME,Property,9/16/2025 9:50 上午,9/16/2025 12:50 下午,2700 CANTANIA PL,Inactive,11827457.35,6932595.095
PD250033571,WIRE FRAUD,Property,9/16/2025 8:30 上午,,4500 POTOMAC HIGHLANDS CIR,Inactive,11815060.92,6887930.284
PD250900297,FALSE PRETENSES/SWINDLE/CONFIDENCE GAME,Property,9/16/2025 8:15 上午,9/17/2025 8:15 上午,14000 ASHDALE AVE,Inactive,11824153.71,6914315.435
PD250035601,BURGLARY,Property,9/16/2025 7:30 上午,,10000 AMBASSADOR DR,Inactive,11763156.42,6973683.026
PD250033590,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Property,9/16/2025 7:00 上午,9/16/2025 12:00 下午,14000 DARBYDALE AVE,Inactive,11813045.78,6917469.588
PD250033536,AGGRAVATED ASSAULT,Violent,9/16/2025 6:00 上午,,4800 KEMPAIR CT,Arrest,11811358.16,6925011.985
PD250033540,DISORDERLY CONDUCT,Quality of Life,9/16/2025 5:15 上午,9/16/2025 5:30 上午,12000 RANNOCH FOREST CIR,Inactive,11746310.44,6954304.124
PD250033528,SHOPLIFTING,Property,9/16/2025 4:26 上午,,8400 SUDLEY RD,Arrest,11767645.59,6966428.36
PD250033527,SIMPLE ASSAULT,Violent,9/16/2025 3:00 上午,,8100 CELLO WAY,Inactive,11783640.18,6967594.479
PD250033525,SHOPLIFTING,Property,9/16/2025 2:30 上午,,10000 LOMOND DR,Inactive,11768949.22,6970348.358
PD250033526,DRUG/NARCOTIC VIOLATION,Quality of Life,9/16/2025 2:06 上午,,Worth Ave / Prince William Pkwy,Arrest,11827094,6922396.92
PD250033548,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Property,9/16/2025 1:40 上午,9/16/2025 7:45 上午,7400 GALLAUDET CT,Inactive,11791236.79,6929148.686
PD250033585,MOTOR VEHICLE THEFT,Property,9/16/2025 1:00 上午,9/16/2025 12:00 下午,12000 GORDON BLVD,Inactive,11837232.2,6933735.637
PD250033522,DRIVING UNDER THE INFLUENCE,Quality of Life,9/16/2025 12:00 上午,,14000 RICHMOND HWY,Arrest,11836714.04,6921921.867
PD250033523,DRIVING UNDER THE INFLUENCE,Quality of Life,9/16/2025 12:00 上午,,Opitz Blvd / Richmond Hwy,Arrest,11833823.39,6916325.504
PD250033546,SIMPLE ASSAULT,Violent,9/16/2025 12:00 上午,,5900 TALMADGE DR,Unfounded,11801187.73,6930005.42
PD250033591,FALSE PRETENSES/SWINDLE/CONFIDENCE GAME,Property,9/16/2025 12:00 上午,,13000 BAXTER ST,Inactive,11835880.24,6927225.926
PD250033594,SHOPLIFTING,Property,9/16/2025 12:00 上午,,2400 PRINCE WILLIAM PKWY,Arrest,11829403.63,6923662.961
PD250033597,SHOPLIFTING,Property,9/16/2025 12:00 上午,,2700 POTOMAC MILLS CIR,Arrest,11826041.73,6918486.143
PD250033642,DISORDERLY CONDUCT,Quality of Life,9/16/2025 12:00 上午,,7400 SUDLEY RD,Arrest,11763065.58,6973906.529
PD250033648,TRESPASS OF REAL PROPERTY,Quality of Life,9/16/2025 12:00 上午,,1000 EXPRESS DR,Arrest,11840982.05,6926364.816
PD250033658,DRIVING UNDER THE INFLUENCE,Quality of Life,9/16/2025 12:00 上午,,Eastlawn Ave / Cardinal Dr,Arrest,11811092.92,6915970.215
PD250035268,IDENTITY THEFT,Property,9/16/2025 12:00 上午,,14000 HEATHER BLOOM DR,Inactive,11805219.81,6915321.97
PD250033515,SHOPLIFTING,Property,9/15/2025 11:04 下午,,14000 SMOKETOWN RD,Arrest,11825083.62,6920228.059
PD250033508,SIMPLE ASSAULT,Violent,9/15/2025 10:00 下午,,3100 CHESAPEAKE DR,Arrest,11824212.43,6898220.467
PD250033513,SIMPLE ASSAULT,Violent,9/15/2025 10:00 下午,,15000 LANCASHIRE DR,Inactive,11830581.08,6913447.984
PD250033505,THEFT FROM BUILDING,Property,9/15/2025 9:09 下午,,2800 PRINCE WILLIAM PKWY,Inactive,11826341.15,6922642.934
PD250035341,SIMPLE ASSAULT,Violent,9/15/2025 9:00 下午,,4400 HENDRICKS DR,Inactive,11815331.48,6926195.641
PD250033512,THEFT FROM MOTOR VEHICLE,Property,9/15/2025 8:23 下午,,2700 NEABSCO COMMON PL,Inactive,11827989.76,6912695.066
PD250033501,DISORDERLY CONDUCT,Quality of Life,9/15/2025 8:05 下午,,4100 CHESHIRE STATION PLZ,Arrest,11815930.81,6920827.818
PD250900295,THEFT FROM MOTOR VEHICLE,Property,9/15/2025 8:00 下午,9/16/2025 8:20 上午,15000 ARUM PL,Inactive,11833960.35,6912958.446
PD250033499,DRUG/NARCOTIC VIOLATION,Quality of Life,9/15/2025 7:40 下午,,10000 COVERSTONE DR,Arrest,11758895.73,6972414.501
PD250033498,SIMPLE ASSAULT,Violent,9/15/2025 7:37 下午,,7800 BROOKVIEW CT,Unfounded,11767078.5,6972276.039
PD250033506,SIMPLE ASSAULT,Violent,9/15/2025 7:00 下午,,3600 QUANTICO TERRACE DR,Arrest,11820035.36,6880038.526
PD250033573,WIRE FRAUD,Property,9/15/2025 7:00 下午,,14000 CAROLINE ST,Inactive,11833476.99,6919216.477
PD250033496,SHOPLIFTING,Property,9/15/2025 6:58 下午,,13000 SMOKETOWN RD,Inactive,11821708.79,6929517.134
PD250033492,SIMPLE ASSAULT,Violent,9/15/2025 6:01 下午,,11000 HIRAM CT,Arrest,11761128.09,6973639.371
PD250033629,SIMPLE ASSAULT,Violent,9/15/2025 6:00 下午,,8900 FREEDOM CENTER BLVD,Unfounded,11763747.93,6962538.401
PD250033723,SIMPLE ASSAULT,Violent,9/15/2025 6:00 下午,,12000 HARBOR DR,Arrest,11830480.27,6930263.803
PD250900365,WIRE FRAUD,Property,9/15/2025 5:37 下午,9/26/2025 12:57 上午,16000 EDGEWOOD DR,Inactive,11816647.24,6905496.884
PD250036713,FALSE PRETENSES/SWINDLE/CONFIDENCE GAME,Property,9/15/2025 5:32 下午,,13000 CENTERPOINTE WAY,Arrest,11815645,6928187.99
PD250036711,SHOPLIFTING,Property,9/15/2025 5:09 下午,,13000 SMOKETOWN RD,Arrest,11821708.79,6929517.134
PD250033485,SIMPLE ASSAULT,Violent,9/15/2025 5:00 下午,,8800 DUNSTABLE LOOP,Inactive,11750206.56,6963348.51
PD250033481,SHOPLIFTING,Property,9/15/2025 4:54 下午,,2400 PRINCE WILLIAM PKWY,Arrest,11829403.63,6923662.961
PD250033494,SIMPLE ASSAULT,Violent,9/15/2025 4:40 下午,,7400 WILLOUGHBY LN,Inactive,11759980.91,6974173.321
