CaseNo,Crime Type,Crime Category,Occurred On,Occurred Between,Block Address,Disposition,x,y
PD250002613,DRUG/NARCOTIC VIOLATION,Quality of Life,1/24/2025 11:00 上午,,3400 PANTHER PRIDE DR,Exception,11823419.45,6901678.029
PD250005404,SHOPLIFTING,Property,1/24/2025 10:31 上午,,9900 SOWDER VILLAGE SQ,Exception,11758601.1,6953667.565
PD250002606,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Property,1/24/2025 8:55 上午,,12000 ADEN RD,Inactive,11748522.38,6937145.242
PD250002648,THEFT FROM MOTOR VEHICLE,Property,1/24/2025 5:36 上午,,15000 BALLON CT,Inactive,11823095.54,6911910.495
PD250002587,TRESPASS OF REAL PROPERTY,Quality of Life,1/24/2025 2:54 上午,,13000 PRINCEDALE DR,Inactive,11801387.66,6925995.484
PD250002966,THEFT FROM BUILDING,Property,1/24/2025 2:54 上午,,13000 KENMAR DR,Arrest,11814838.34,6929059.533
PD250002581,SHOPLIFTING,Property,1/24/2025 2:10 上午,,4000 PRINCE WILLIAM PKWY,Arrest,11816751.64,6927624.098
PD250002596,MOTOR VEHICLE THEFT,Property,1/24/2025 12:20 上午,,13000 KEELINGWOOD CIR,Inactive,11833042.47,6923540.518
PD250002580,DRIVING UNDER THE INFLUENCE,Quality of Life,1/24/2025 12:00 上午,,Prince William Pkwy / Hoadly Rd,Arrest,11808298.99,6933116.637
PD250003552,WIRE FRAUD,Property,1/24/2025 12:00 上午,,2500 BLUE POOL DR,Inactive,11828977.47,6898505.342
PD250006143,ALL OTHER LARCENY,Property,1/24/2025 12:00 上午,,7700 WELLINGFORD DR,Unfounded,11750685.9,6970956.485
PD250002572,SIMPLE ASSAULT,Violent,1/23/2025 10:30 下午,1/23/2025 10:39 下午,16000 BRANDY MOOR LOOP,Unfounded,11828103.08,6899476.241
PD250023862,SIMPLE ASSAULT,Violent,1/23/2025 10:30 下午,,3900 HARTLAKE ST,Unfounded,11817513.84,6939780.234
PD250002569,THEFT FROM MOTOR VEHICLE,Property,1/23/2025 10:26 下午,,7100 SUDLEY RD,Inactive,11762438.97,6975725.205
PD250002570,SIMPLE ASSAULT,Violent,1/23/2025 10:00 下午,,10000 CATTAIL CT,Inactive,11761441.95,6971820.462
PD250002597,MOTOR VEHICLE THEFT,Property,1/23/2025 10:00 下午,1/24/2025 6:00 上午,15000 BANNON WAY,Inactive,11822438.41,6912255.02
PD250002567,SIMPLE ASSAULT,Violent,1/23/2025 9:30 下午,,1300 FIR CT,Arrest,11838487.7,6915626.903
PD250002560,AGGRAVATED ASSAULT,Violent,1/23/2025 7:54 下午,,7300 RIDING MEADOW WAY,Exception,11783529.59,6973723.699
PD250002617,MOTOR VEHICLE THEFT,Property,1/23/2025 7:52 下午,1/23/2025 8:15 下午,10000 BALLS FORD RD,Inactive,11768633.21,6978470.228
PD250002558,SIMPLE ASSAULT,Violent,1/23/2025 7:06 下午,,9500 LOMOND DR,Inactive,11772883.23,6970110.63
PD250002590,THEFT FROM MOTOR VEHICLE,Property,1/23/2025 7:00 下午,1/24/2025 7:45 上午,7200 WILLIAMSON BLVD,Inactive,11763142.01,6974049.424
PD250002562,INTIMIDATION,Violent,1/23/2025 6:46 下午,,10000 SUDLEY MANOR DR,Inactive,11769205.66,6972433.753
PD250002577,SIMPLE ASSAULT,Violent,1/23/2025 6:30 下午,,17000 RICHMOND HWY,Inactive,11823015.25,6897253.401
PD250002556,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Property,1/23/2025 6:04 下午,,13000 QUADE LN,Exception,11807404.89,6927907.512
PD250002548,AGGRAVATED ASSAULT,Violent,1/23/2025 5:53 下午,,13000 DELANEY RD,Arrest,11809001.64,6928779.737
PD250002553,THEFT OF MOTOR VEHICLE PARTS OR ACCESSORIES,Property,1/23/2025 5:52 下午,,3200 BLAZER LOOP,Inactive,11823109.97,6912280.383
PD250002573,SIMPLE ASSAULT,Violent,1/23/2025 5:13 下午,,14000 HARO TRL,Arrest,11735876.96,6977906.405
PD250002540,SIMPLE ASSAULT,Violent,1/23/2025 5:06 下午,,13000 TORY GATE CT,Arrest,11735149.35,6987242.765
PD250002546,SIMPLE ASSAULT,Violent,1/23/2025 5:00 下午,,14000 HARO TRL,Arrest,11735876.96,6977906.405
PD250002595,MOTOR VEHICLE THEFT,Property,1/23/2025 5:00 下午,1/24/2025 6:00 上午,3400 BEALE CT,Inactive,11821236.94,6914923.734
PD250002544,SIMPLE ASSAULT,Violent,1/23/2025 4:27 下午,,15000 WENTWOOD LN,Inactive,11832827.79,6912252.845
PD250002549,MOTOR VEHICLE THEFT,Property,1/23/2025 4:22 下午,,14000 POTOMAC HEIGHTS PL,Inactive,11832706.23,6913967.772
PD250002585,MOTOR VEHICLE THEFT,Property,1/23/2025 4:00 下午,1/24/2025 2:50 上午,3600 MEANDERING WAY,Inactive,11819825.73,6935097.781
PD250300084,IMPERSONATION,Property,1/23/2025 4:00 下午,1/23/2025 7:30 下午,6700 FAYETTE ST,Inactive,11728645.37,6980180.738
PD250002535,SHOPLIFTING,Property,1/23/2025 3:20 下午,,14000 RICHMOND HWY,Inactive,11836714.04,6921921.867
PD250002542,MOTOR VEHICLE THEFT,Property,1/23/2025 3:00 下午,,14000 POTOMAC HEIGHTS PL,Inactive,11832706.23,6913967.772
PD250003124,THEFT FROM BUILDING,Property,1/23/2025 2:00 下午,1/23/2025 5:45 下午,2900 AMERICAN EAGLE BLVD,Inactive,11826131.14,6903778.791
PD250003434,FALSE PRETENSES/SWINDLE/CONFIDENCE GAME,Property,1/23/2025 1:45 下午,,8200 SUDLEY RD,Arrest,11766787.97,6967116.694
PD250003310,SHOPLIFTING,Property,1/23/2025 1:31 下午,,7400 STREAM WALK LN,Arrest,11761257.97,6974737.862
PD250002538,DRUG/NARCOTIC VIOLATION,Quality of Life,1/23/2025 1:00 下午,,14000 ESSEX DR,Inactive,11832275.87,6919981.863
PD250002525,SHOPLIFTING,Property,1/23/2025 12:39 下午,,2700 POTOMAC MILLS CIR,Arrest,11826041.73,6918486.143
PD250003683,FALSE PRETENSES/SWINDLE/CONFIDENCE GAME,Property,1/23/2025 12:04 下午,,13000 CENTERPOINTE WAY,Arrest,11815645,6928187.99
PD250002769,AGGRAVATED ASSAULT,Violent,1/23/2025 12:00 下午,1/23/2025 3:00 下午,1900 MARINER LN,Inactive,11833331.54,6935044.076
PD250003293,THEFT FROM MOTOR VEHICLE,Property,1/23/2025 12:00 下午,1/29/2025 1:10 下午,1100 ANNAPOLIS WAY,Inactive,11840181.86,6929197.831
PD250002630,INTIMIDATION,Violent,1/23/2025 9:30 上午,1/24/2025 9:46 上午,10000 MOORE DR,Inactive,11786937.93,6953328.996
PD250002489,SIMPLE ASSAULT,Violent,1/23/2025 8:57 上午,,5000 PRINCE WILLIAM PKWY,Arrest,11808881.14,6932842.045
